Date,Teams,DK Open,DynW%,Location,Spread,SpreadOdds,SpreadProbability,PredictedScore,PointsScored,Total,TotalOdds,TotalProbability,MoneyLine,Luck,AdjEM,AdjO,AdjD,AdjT,SOS,AvgPF,AvgPA,TOV,Pace,Ts%,eFG%,MatchupUncertainty,MLConfidence,SU_Correct,Cover_Correct,OU_Correct
1/18/2024,Pepperdine,580,15.56%,h,12.0,-109.0,3.35%,68.07,69,14.0,-110.0,49.91%,,-0.05,-2.77,106.3,109.1,67.7,0.04,77.968,78.766,13.774,70.063,0.556,0.531,,,,,
1/18/2024,Oregon,202,30.75%,a,6.0,-110.0,49.80%,77.36,70,148.5,-110.0,76.49%,,0.067,13.91,115.5,101.6,68.5,3.15,70.611,64.501,11.778,70.931,0.542,0.512,,,1.000,1.000,1.000
1/18/2024,Colorado,-250,69.25%,h,-6.0,-110.0,50.20%,83.36,86,11.8,-110.0,23.51%,-250,0.021,16.5,115.2,98.7,68.9,3.35,69.857,65.238,12.657,71.218,0.520,0.490,,,,,
1/18/2024,Loyola Marymount,470,26.71%,a,10.0,-109.0,46.28%,66.12,74,140.0,-102.0,62.61%,,-0.105,-0.06,106.5,106.5,66.5,-2.6,75.323,70.798,11.710,68.941,0.555,0.533,,,1.000,1.000,1.000
1/18/2024,San Francisco,-670,73.29%,h,-10.0,-110.0,53.72%,77.25,90,12.1,-102.0,37.39%,-610,-0.045,13.47,109.6,96.1,66.5,-4.54,76.206,71.332,13.088,68.933,0.569,0.536,,,,,
1/18/2024,Washington St.,118,42.18%,a,3.0,-108.0,52.45%,73.72,89,146.5,-110.0,71.06%,,0.007,12.65,111.7,99.1,66.1,2.05,68.353,63.873,10.765,68.888,0.538,0.508,,,0.000,1.000,1.000
1/18/2024,Stanford,-142,57.82%,h,-3.0,-111.0,47.55%,76.10,75,11.0,-110.0,28.94%,-165,-0.025,9.91,112.3,102.4,69.4,4.76,70.333,66.368,11.848,72.488,0.551,0.527,,,,,
1/19/2024,Georgetown,810,10.21%,a,12.0,-109.0,21.84%,66.54,91,149.5,-110.0,77.13%,,0.003,-1.16,109.4,110.5,66.5,0.61,69.531,75.773,11.750,67.929,0.505,0.472,,,1.000,1.000,1.000
1/19/2024,Xavier,-1450,89.79%,h,-12.0,-110.0,78.16%,87.13,92,10.9,-110.0,22.87%,-1000,-0.152,18.21,113.7,95.5,70.3,9.72,80.946,72.146,12.162,72.706,0.579,0.554,,,,,
1/19/2024,Saint Louis,315,22.21%,a,8.0,-111.0,46.14%,71.93,61,148.0,115.0,76.95%,,0.09,-2.23,110.1,112.4,68.5,3.2,75.545,69.073,11.455,70.265,0.557,0.528,,,1.000,1.000,0.000
